Borough,Bedrooms,Bathrooms,FloorArea,PropertyAge,Price
Barking and Dagenham,3,2,111.1,1980-2000,786697
Greenwich,2,1,64.8,1900-1950,770300
Tower Hamlets,3,2,70.1,1980-2000,823572
Hackney,2,1,48.8,1980-2000,746992
Wandsworth,5,3,140.7,1980-2000,1255640
Croydon,3,2,103.5,1900-1950,897291
Islington,3,2,105.2,1900-1950,1144176
Croydon,1,1,25.0,Post-2000,556011
Lambeth,2,2,42.0,Pre-1900,825640
Ealing,3,2,68.1,1900-1950,874404
Kensington and Chelsea,3,1,87.8,1980-2000,1394480
Croydon,1,1,62.6,Post-2000,699665
Barking and Dagenham,2,1,64.1,1950-1980,592387
Waltham Forest,2,1,32.1,1980-2000,684315
Brent,3,2,73.1,1950-1980,800152
Ealing,2,1,46.6,Pre-1900,765105
Waltham Forest,2,1,43.7,1980-2000,715060
Croydon,1,1,25.0,Post-2000,484843
Southwark,2,2,61.5,Post-2000,815013
Lewisham,1,1,38.2,Pre-1900,688182
Brent,5,3,156.4,1980-2000,1185767
Wandsworth,1,1,35.9,1950-1980,686867
Brent,4,2,82.7,Pre-1900,950564
Lewisham,2,1,40.1,1980-2000,655064
Bromley,2,1,53.6,Pre-1900,788903
Bromley,1,1,30.2,1950-1980,604187
Tower Hamlets,3,2,96.9,1900-1950,987768
Wandsworth,3,1,84.6,1950-1980,924192
Camden,2,1,56.8,1950-1980,941405
Hackney,1,1,31.6,1950-1980,721687
Lewisham,4,3,108.2,1950-1980,932901
Lambeth,5,3,141.3,1900-1950,1231474
Barking and Dagenham,2,1,72.9,1980-2000,683043
Croydon,3,2,82.7,Post-2000,863973
Ealing,2,2,55.5,1900-1950,794864
Islington,2,1,55.5,1950-1980,880400
Tower Hamlets,1,1,47.5,1980-2000,735122
Wandsworth,2,1,39.4,1950-1980,807371
Lambeth,3,2,110.6,1950-1980,986175
Bromley,1,1,25.0,1980-2000,631641
Greenwich,2,1,46.2,Pre-1900,689414
Hammersmith and Fulham,4,2,123.2,1950-1980,1317934
Lewisham,1,1,43.5,1950-1980,649705
Tower Hamlets,1,1,25.0,Pre-1900,671608
Ealing,3,2,67.6,1950-1980,821227
Hackney,2,1,60.2,1980-2000,879703
Ealing,1,1,63.2,1980-2000,741833
Hammersmith and Fulham,2,1,74.7,Pre-1900,1016113
Camden,2,2,52.3,Post-2000,1025870
Southwark,4,2,75.7,1980-2000,992595
Wandsworth,3,2,85.2,1950-1980,1017938
Brent,2,1,61.4,1900-1950,785428
Westminster,2,2,50.3,1950-1980,1026652
Croydon,5,3,127.2,Post-2000,1081118
Brent,1,1,30.4,1950-1980,596282
Croydon,1,1,25.0,1980-2000,543156
Ealing,5,3,168.1,1950-1980,1244387
Islington,5,3,162.8,1950-1980,1402583
Newham,1,1,37.9,1900-1950,629059
Waltham Forest,1,1,29.3,1980-2000,650118
Barking and Dagenham,2,1,46.1,1950-1980,565128
Barking and Dagenham,1,1,27.7,1900-1950,579745
Brent,3,1,108.6,1950-1980,969919
Tower Hamlets,1,1,41.0,Post-2000,760496
Brent,1,1,31.1,1980-2000,603256
Waltham Forest,2,1,69.9,1900-1950,805025
Kensington and Chelsea,5,3,148.2,Post-2000,1743219
Lewisham,2,1,61.9,Pre-1900,738297
Hackney,2,1,70.7,Pre-1900,893786
Hammersmith and Fulham,5,3,147.8,Pre-1900,1441511
Lewisham,2,1,68.9,Pre-1900,796310
Greenwich,2,1,58.4,Pre-1900,676464
Lewisham,2,1,52.2,1980-2000,707247
Waltham Forest,1,1,25.0,1980-2000,587406
Wandsworth,2,1,46.0,1980-2000,810130
Croydon,2,1,31.9,1980-2000,623139
Lambeth,2,2,42.3,1980-2000,810218
Lambeth,1,1,25.0,1900-1950,674935
Wandsworth,2,1,48.4,1980-2000,769987
Brent,2,2,79.4,1950-1980,799701
Haringey,1,1,25.6,Post-2000,731566
Greenwich,1,1,31.6,1900-1950,628524
Brent,4,2,116.1,Pre-1900,1100342
Kensington and Chelsea,2,2,79.8,1980-2000,1295453
Barking and Dagenham,1,1,25.0,1980-2000,467959
Wandsworth,3,1,80.7,1900-1950,1054814
Hammersmith and Fulham,1,1,26.4,1950-1980,813771
Greenwich,3,2,101.0,Pre-1900,890501
Haringey,3,1,104.2,Post-2000,1111570
Lewisham,3,2,91.1,Pre-1900,847071
Brent,3,2,102.5,Pre-1900,838425
Newham,1,1,30.7,Pre-1900,614102
Ealing,3,2,81.4,1950-1980,910866
Kensington and Chelsea,1,1,45.7,Pre-1900,1208943
Kensington and Chelsea,2,1,63.3,1980-2000,1189501
Westminster,4,2,101.0,Post-2000,1393029
Wandsworth,2,1,71.0,1900-1950,904637
Hackney,5,3,136.9,1980-2000,1192562
Bromley,1,1,25.0,Pre-1900,693482
Haringey,2,1,69.4,1950-1980,774516
Croydon,1,1,26.7,1900-1950,552980
Southwark,3,1,89.8,1900-1950,1023382
Tower Hamlets,1,1,37.9,1980-2000,703009
Tower Hamlets,1,1,25.0,Pre-1900,718144
Croydon,2,1,61.8,Post-2000,748753
Hammersmith and Fulham,3,2,104.2,1980-2000,1207021
Haringey,1,1,25.0,1980-2000,667173
Newham,3,2,90.7,Post-2000,909157
Ealing,1,1,25.0,Post-2000,668078
Westminster,1,1,43.3,1950-1980,913548
Ealing,2,1,71.2,1950-1980,841786
Newham,5,3,134.7,1900-1950,1125467
Croydon,1,1,61.1,1980-2000,659084
Tower Hamlets,1,1,44.6,1950-1980,663162
Wandsworth,3,1,94.6,Post-2000,1011805
Hackney,2,1,65.8,1900-1950,880389
Bromley,3,2,98.8,1900-1950,901398
Hammersmith and Fulham,1,1,25.0,1900-1950,804540
Bromley,2,1,58.9,Post-2000,814387
Hammersmith and Fulham,2,1,61.7,Pre-1900,1011566
Hackney,2,1,50.0,1950-1980,790805
Haringey,3,2,91.0,1950-1980,920529
Kensington and Chelsea,3,2,102.5,Pre-1900,1436898
Waltham Forest,2,1,49.7,1950-1980,631660
Greenwich,4,2,111.2,1950-1980,922527
Brent,2,1,43.7,Pre-1900,704773
Barking and Dagenham,1,1,25.0,1950-1980,415487
Newham,3,1,95.7,Post-2000,888732
Bromley,3,1,83.6,Post-2000,890758
Southwark,1,1,28.7,1950-1980,641948
Ealing,3,2,69.2,1950-1980,841310
Newham,2,1,53.2,1900-1950,655814
Bromley,3,2,100.4,Post-2000,1012587
Greenwich,3,2,84.0,1900-1950,808088
Bromley,2,1,56.4,1950-1980,688545
Newham,1,1,31.1,Pre-1900,580366
Hackney,3,2,65.5,1900-1950,938371
Haringey,3,2,93.4,Pre-1900,1023004
Brent,1,1,25.0,1980-2000,676995
Ealing,2,1,41.9,1950-1980,686106
Kensington and Chelsea,5,3,124.3,1950-1980,1507316
Haringey,2,1,53.4,1900-1950,761393
Hackney,1,1,25.0,Post-2000,688349
Lewisham,1,1,28.0,Pre-1900,625078
Islington,2,1,42.4,1900-1950,856939
Croydon,4,2,127.1,1980-2000,1034083
Southwark,3,2,96.5,Post-2000,978291
Lambeth,2,1,53.4,1900-1950,801628
Waltham Forest,3,2,76.8,1950-1980,789656
Hackney,3,2,75.3,1950-1980,867765
Westminster,2,1,51.3,Post-2000,1173281
Westminster,1,1,25.0,Pre-1900,956464
Haringey,3,2,69.6,1950-1980,831489
Barking and Dagenham,2,1,68.9,1900-1950,649469
Tower Hamlets,1,1,32.5,Pre-1900,766246
Croydon,2,1,80.5,Pre-1900,747099
Westminster,5,3,135.5,Post-2000,1553354
Lewisham,2,1,50.6,1900-1950,712744
Greenwich,5,3,133.9,Post-2000,1147441
Bromley,1,1,25.0,1900-1950,602610
Waltham Forest,3,1,74.1,Post-2000,884319
Lambeth,1,1,32.1,1980-2000,672984
Lambeth,2,1,56.4,Pre-1900,768507
Brent,2,1,48.4,1950-1980,748302
Camden,2,1,74.8,1900-1950,1100104
Tower Hamlets,3,2,112.4,1950-1980,1016830
Camden,3,2,101.5,1950-1980,1128040
Hammersmith and Fulham,2,1,64.4,1950-1980,859677
Newham,4,2,123.4,1980-2000,1008964
Hackney,2,1,83.8,1980-2000,907808
Kensington and Chelsea,1,1,39.4,1900-1950,1141565
Brent,1,1,25.0,Post-2000,585604
Kensington and Chelsea,2,1,61.9,Post-2000,1351337
Bromley,3,1,93.4,Pre-1900,888434
Hackney,1,1,25.0,Pre-1900,715236
Croydon,1,1,25.0,1950-1980,538686
Wandsworth,1,1,44.5,1950-1980,722997
Westminster,2,2,28.6,1900-1950,1063508
Hammersmith and Fulham,1,1,25.0,1900-1950,834220
Haringey,1,1,25.4,1980-2000,677755
Lewisham,2,1,61.3,1980-2000,692376
Brent,3,1,63.6,1900-1950,873669
Westminster,2,1,54.1,Post-2000,1196383
Hackney,2,1,73.3,1980-2000,905307
Tower Hamlets,1,1,29.0,1950-1980,614872
Camden,4,2,126.1,1980-2000,1225222
Hammersmith and Fulham,2,1,47.1,Pre-1900,975288
Bromley,5,3,127.9,1950-1980,1132391
Haringey,5,4,152.7,1900-1950,1260664
Brent,3,2,89.5,Pre-1900,870764
Croydon,1,1,25.0,1900-1950,489510
Greenwich,2,1,44.0,1900-1950,737581
Hackney,1,1,51.5,1980-2000,794657
Ealing,4,3,98.1,1980-2000,944100
Lewisham,3,2,98.0,Pre-1900,860418
Islington,5,3,132.8,Pre-1900,1297393
Tower Hamlets,3,2,84.0,1980-2000,844778
Bromley,2,2,60.4,Pre-1900,789732
Ealing,2,1,25.0,1900-1950,780865
Southwark,2,1,34.1,1950-1980,638329
Newham,2,1,57.3,Post-2000,725091
Wandsworth,3,2,73.1,Post-2000,1051450
Hammersmith and Fulham,4,2,126.9,1980-2000,1334284
Lambeth,2,1,31.9,1900-1950,701029
Southwark,4,2,120.5,1980-2000,1095821
Croydon,4,3,91.4,1900-1950,825511
Ealing,2,1,50.7,1900-1950,762108
Lewisham,2,2,40.0,1950-1980,656857
Islington,3,2,112.5,1980-2000,1193082
Greenwich,2,1,35.9,Pre-1900,643369
Southwark,1,1,26.2,Pre-1900,685998
Wandsworth,2,1,30.1,1980-2000,717372
Waltham Forest,5,3,164.0,Post-2000,1285990
Hammersmith and Fulham,1,1,34.0,1980-2000,905418
Islington,3,2,86.1,1950-1980,1048877
Islington,3,2,106.1,Post-2000,1144593
Hammersmith and Fulham,3,2,86.2,1980-2000,1132614
Ealing,2,1,59.3,1950-1980,734934
Bromley,3,2,86.0,1900-1950,951057
Ealing,2,2,64.5,1900-1950,814438
Lewisham,1,1,25.0,1950-1980,498719
Brent,5,3,136.8,1900-1950,1149657
Lewisham,2,1,68.2,1900-1950,800681
Westminster,3,2,88.2,1950-1980,1202322
Waltham Forest,2,1,54.3,1900-1950,733930
Lambeth,1,1,25.0,Post-2000,660089
Waltham Forest,5,3,162.5,Pre-1900,1208147
Westminster,3,2,74.1,1950-1980,1127483
Brent,1,1,42.8,1980-2000,640602
Brent,5,3,142.6,1950-1980,1178530
Bromley,3,2,64.6,1950-1980,760548
Ealing,2,1,74.8,1950-1980,821135
Lambeth,3,2,87.8,Post-2000,975535
Newham,1,1,48.0,Post-2000,702932
Lambeth,2,1,53.3,1980-2000,809998
Islington,1,1,38.6,1980-2000,847801
Hackney,2,1,29.6,Pre-1900,775584
Hackney,2,1,48.5,Post-2000,813792
Haringey,4,2,92.9,Post-2000,1005413
Waltham Forest,3,2,78.4,1950-1980,801496
Waltham Forest,1,1,35.1,1980-2000,667846
Westminster,4,3,102.9,1950-1980,1282192
Westminster,2,1,69.0,1900-1950,1190697
Hackney,3,2,71.2,Post-2000,1010139
Southwark,1,1,41.3,1950-1980,663436
Westminster,4,3,131.6,1950-1980,1381045
Lambeth,4,2,127.2,1980-2000,1094690
Newham,3,2,78.8,Post-2000,829818
Newham,4,2,80.1,1980-2000,819019
Haringey,2,1,64.7,1900-1950,889853
Tower Hamlets,4,2,110.1,1950-1980,1021504
Brent,2,1,41.3,Post-2000,754160
Greenwich,1,1,25.0,1950-1980,517888
Tower Hamlets,3,1,105.5,Post-2000,1073315
Westminster,3,2,66.9,Post-2000,1201085
Southwark,2,1,63.0,1980-2000,848782
Camden,1,1,31.3,1900-1950,884731
Hammersmith and Fulham,1,1,25.0,1900-1950,847599
Islington,2,1,65.7,1980-2000,962544
Hammersmith and Fulham,1,1,52.5,1950-1980,910119
Hackney,1,1,25.0,1980-2000,680925
Brent,2,1,52.4,1980-2000,743750
Kensington and Chelsea,5,3,149.3,1900-1950,1678629
Newham,3,2,97.8,1980-2000,872404
Islington,2,1,54.1,1950-1980,879205
Kensington and Chelsea,5,3,135.4,1900-1950,1583313
Lewisham,3,2,50.7,1950-1980,713485
Croydon,2,1,44.3,Post-2000,675752
Westminster,2,2,38.9,1950-1980,989077
Croydon,2,2,66.3,1900-1950,752092
Barking and Dagenham,1,1,25.0,1950-1980,489303
Hammersmith and Fulham,2,1,51.8,1900-1950,957924
Wandsworth,2,1,55.9,1950-1980,809859
Lewisham,2,1,42.9,Pre-1900,690862
Hackney,3,2,107.3,Post-2000,1096371
Lambeth,2,1,75.5,1900-1950,859335
Tower Hamlets,3,1,108.3,1950-1980,1002411
Ealing,2,2,66.3,Pre-1900,844472
Waltham Forest,5,4,139.6,Post-2000,1240674
Greenwich,2,1,80.2,1950-1980,787913
Ealing,4,2,101.8,Post-2000,1024025
Bromley,3,1,70.9,1980-2000,824570
Croydon,3,2,75.0,1980-2000,791572
Ealing,3,2,91.8,Post-2000,922884
Bromley,1,1,25.0,Pre-1900,583164
Kensington and Chelsea,5,3,137.7,1980-2000,1607270
Barking and Dagenham,1,1,25.0,1900-1950,531336
Brent,2,1,63.2,1980-2000,833539
Waltham Forest,2,1,33.2,Post-2000,705667
Lewisham,2,1,42.0,Post-2000,765494
Greenwich,3,1,102.3,Pre-1900,938291
Waltham Forest,4,2,129.7,1950-1980,988710
Haringey,2,1,61.6,1950-1980,788828
Kensington and Chelsea,5,3,144.1,Pre-1900,1652216
Kensington and Chelsea,2,1,48.0,Pre-1900,1272353
Haringey,1,1,25.0,1950-1980,624972
Wandsworth,1,1,25.0,Post-2000,709383
Hammersmith and Fulham,3,2,61.3,1950-1980,943544
Wandsworth,1,1,31.8,1980-2000,725414
Waltham Forest,2,1,56.7,1950-1980,627754
Lambeth,1,1,25.0,1980-2000,611773
Lewisham,2,1,79.5,Post-2000,863597
Waltham Forest,3,2,93.1,1950-1980,844582
Hammersmith and Fulham,2,1,66.4,Pre-1900,1098081
Wandsworth,1,1,25.0,1950-1980,721140
Ealing,2,1,56.0,Post-2000,786262
Brent,2,1,65.4,1950-1980,752515
Tower Hamlets,1,1,30.3,1950-1980,674808
Camden,2,1,80.0,Pre-1900,1085047
Southwark,3,2,80.9,Pre-1900,899522
Camden,1,1,25.0,Post-2000,886767
Southwark,2,2,65.5,1900-1950,821381
Southwark,2,1,37.0,1900-1950,800133
Barking and Dagenham,2,1,69.9,1950-1980,680762
Bromley,2,1,36.5,Post-2000,724162
Croydon,2,2,65.6,Pre-1900,725211
Waltham Forest,2,1,46.3,Post-2000,707640
Ealing,3,2,91.1,1900-1950,919169
Brent,1,1,41.6,Post-2000,781766
Wandsworth,3,2,86.3,Post-2000,1047195
Tower Hamlets,2,1,38.0,1900-1950,775823
Greenwich,2,1,42.5,Pre-1900,700699
Waltham Forest,3,2,73.1,Pre-1900,917316
Hammersmith and Fulham,2,1,27.6,1980-2000,806558
Kensington and Chelsea,2,2,72.9,Pre-1900,1315163
